@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute width-1 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1502,'2018/12/11 19:00:04:027',5,19.325418,2
1503,'2018/12/11 19:00:04:059',5,19.416302,2
1504,'2018/12/11 19:00:04:092',5,19.501999,2
1505,'2018/12/11 19:00:04:125',5,19.40152,2
1506,'2018/12/11 19:00:04:159',5,19.479992,2
1507,'2018/12/11 19:00:04:193',5,19.354094,2
1508,'2018/12/11 19:00:04:234',5,19.487553,2
1509,'2018/12/11 19:00:04:258',5,19.372519,2
1510,'2018/12/11 19:00:04:292',5,19.393116,2
1511,'2018/12/11 19:00:04:326',5,19.458069,2
1512,'2018/12/11 19:00:04:359',5,19.609241,2
1513,'2018/12/11 19:00:04:392',5,19.516682,2
1514,'2018/12/11 19:00:04:427',5,19.616236,2
1515,'2018/12/11 19:00:04:459',5,19.495846,2
1516,'2018/12/11 19:00:04:493',5,19.440088,2
1517,'2018/12/11 19:00:04:526',5,19.571529,2
1518,'2018/12/11 19:00:04:559',5,19.54125,2
1519,'2018/12/11 19:00:04:591',5,19.448669,2
1520,'2018/12/11 19:00:04:623',5,19.300297,2
1521,'2018/12/11 19:00:04:638',5,19.368149,2
1522,'2018/12/11 19:00:04:674',5,19.496038,2
1523,'2018/12/11 19:00:04:705',5,19.304058,2
1524,'2018/12/11 19:00:04:741',5,19.355566,2
1525,'2018/12/11 19:00:04:775',5,19.209682,2
1526,'2018/12/11 19:00:04:809',5,19.374037,2
1527,'2018/12/11 19:00:04:842',5,19.544704,2
1528,'2018/12/11 19:00:04:874',5,19.381523,2
1529,'2018/12/11 19:00:04:908',5,19.646292,2
1530,'2018/12/11 19:00:04:941',5,19.329811,2
1531,'2018/12/11 19:00:04:974',5,19.202906,2
1532,'2018/12/11 19:00:05:026',5,19.205084,2
1533,'2018/12/11 19:00:05:058',5,19.181858,2
1534,'2018/12/11 19:00:05:093',5,19.283655,2
1535,'2018/12/11 19:00:05:126',5,19.163279,2
1536,'2018/12/11 19:00:05:138',5,19.264902,2
1537,'2018/12/11 19:00:05:175',5,19.040237,2
1538,'2018/12/11 19:00:05:208',5,19.18181,2
1539,'2018/12/11 19:00:05:239',5,19.157589,2
1540,'2018/12/11 19:00:05:275',5,19.155273,2
1541,'2018/12/11 19:00:05:308',5,19.258429,2
1542,'2018/12/11 19:00:05:338',5,18.953373,2
1543,'2018/12/11 19:00:05:372',5,19.015078,2
1544,'2018/12/11 19:00:05:408',5,19.002716,2
1545,'2018/12/11 19:00:05:440',5,19.179537,2
1546,'2018/12/11 19:00:05:475',5,19.01965,2
1547,'2018/12/11 19:00:05:509',5,19.075256,2
1548,'2018/12/11 19:00:05:559',5,19.015926,2
1549,'2018/12/11 19:00:05:592',5,18.995319,2
1550,'2018/12/11 19:00:05:626',5,18.947853,2
1551,'2018/12/11 19:00:05:659',5,18.798542,2
1552,'2018/12/11 19:00:05:692',5,18.901888,2
1553,'2018/12/11 19:00:05:726',5,18.916075,2
1554,'2018/12/11 19:00:05:759',5,19.101999,2
1555,'2018/12/11 19:00:05:792',5,19.095156,2
1556,'2018/12/11 19:00:05:826',5,19.02235,2
1557,'2018/12/11 19:00:05:838',5,19.071154,2
1558,'2018/12/11 19:00:05:875',5,19.03956,2
1559,'2018/12/11 19:00:05:909',5,18.97813,2
1560,'2018/12/11 19:00:05:941',5,18.980677,2
1561,'2018/12/11 19:00:05:973',5,19.076593,2
1562,'2018/12/11 19:00:06:008',5,19.063953,2
1563,'2018/12/11 19:00:06:041',5,19.245253,2
1564,'2018/12/11 19:00:06:072',5,19.246511,2
1565,'2018/12/11 19:00:06:108',5,19.028818,2
1566,'2018/12/11 19:00:06:141',5,18.384203,2
1567,'2018/12/11 19:00:06:175',5,18.335529,2
1568,'2018/12/11 19:00:06:207',5,18.768885,2
1569,'2018/12/11 19:00:06:242',5,19.184446,2
1570,'2018/12/11 19:00:06:275',5,19.332476,2
1571,'2018/12/11 19:00:06:309',5,19.480146,2
1572,'2018/12/11 19:00:06:360',5,19.420341,2
1573,'2018/12/11 19:00:06:393',5,19.573832,2
1574,'2018/12/11 19:00:06:427',5,19.418835,2
1575,'2018/12/11 19:00:06:440',5,19.67239,2
1576,'2018/12/11 19:00:06:492',5,19.486708,2
1577,'2018/12/11 19:00:06:526',5,19.761189,2
